Country	Deaths	ID	id_row
Afghanistan	50.59	Q889	0
Albania	36.43	Q222	1
Algeria	32.64	Q262	2
American Samoa	42.22	Q16641	3
Andorra	30.92	Q228	4
Angola	40.52	Q916	5
Antigua and Barbuda	27.51	Q781	6
Argentina	32.17	Q414	7
Armenia	36.78	Q399	8
Australia	32.32	Q408	9
Austria	31.73	Q40	10
Azerbaijan	49.84	Q227	11
Bahamas	32.52	Q778	12
Bahrain	32.05	Q398	13
Bangladesh	23.0	Q902	14
Barbados	33.52	Q244	15
Belarus	39.39	Q184	16
Belgium	33.53	Q31	17
Belize	30.54	Q242	18
Benin	44.06	Q962	19
Bermuda	29.26	Q23635	20
Bhutan	30.66	Q917	21
Bolivia	43.27	Q750	22
Bosnia and Herzegovina	42.25	Q225	23
Botswana	39.6	Q963	24
Brazil	35.5	Q155	25
Brunei	29.1	Q921	26
Bulgaria	38.34	Q219	27
Burkina Faso	41.11	Q965	28
Burundi	39.42	Q967	29
Cambodia	42.01	Q424	30
Cameroon	46.89	Q1009	31
Canada	29.29	Q16	32
Cape Verde	33.57	Q1011	33
Central African Republic	38.61	Q929	34
Chad	40.27	Q657	35
Chile	35.26	Q298	36
China	34.25	Q148	37
Colombia	26.49	Q739	38
Comoros	41.3	Q970	39
Congo	46.16	Q971	40
Costa Rica	28.37	Q800	41
Cote d'Ivoire	44.1	Q1008	42
Croatia	36.77	Q224	43
Cuba	32.12	Q241	44
Cyprus	24.82	Q229	45
Czech Republic	34.9	Q213	46
Democratic Republic of Congo	39.71	Q974	47
Denmark	33.19	Q35	48
Djibouti	41.68	Q977	49
Dominica	31.59	Q784	50
Dominican Republic	34.12	Q786	51
Ecuador	38.07	Q736	52
Egypt	41.53	Q79	53
El Salvador	40.01	Q792	54
England	38.52	Q21	55
Equatorial Guinea	42.65	Q983	56
Eritrea	53.09	Q986	57
Estonia	33.77	Q191	58
Ethiopia	36.49	Q115	59
Fiji	39.0	Q712	60
Finland	55.54	Q33	61
France	33.8	Q142	62
Gabon	42.65	Q1000	63
Gambia	47.17	Q1005	64
Georgia	38.63	Q230	65
Germany	32.98	Q183	66
Ghana	36.92	Q117	67
Greece	34.57	Q41	68
Greenland	43.57	Q223	69
Grenada	27.3	Q769	70
Guam	33.44	Q16635	71
Guatemala	26.71	Q774	72
Guinea	46.08	Q1006	73
Guinea-Bissau	49.24	Q1007	74
Guyana	31.89	Q734	75
Haiti	38.76	Q790	76
Honduras	51.55	Q783	77
Hungary	32.62	Q28	78
Iceland	34.87	Q189	79
India	30.49	Q668	80
Indonesia	41.38	Q252	81
Iran	40.74	Q794	82
Iraq	25.3	Q796	83
Ireland	34.07	Q27	84
Israel	34.03	Q801	85
Italy	34.5	Q38	86
Jamaica	36.19	Q766	87
Japan	34.07	Q17	88
Jordan	43.67	Q810	89
Kazakhstan	40.81	Q232	90
Kenya	41.22	Q114	91
Kiribati	63.68	Q710	92
Kuwait	18.29	Q817	93
Kyrgyzstan	24.44	Q813	94
Laos	37.56	Q819	95
Latvia	35.74	Q211	96
Lebanon	40.31	Q822	97
Lesotho	49.16	Q1013	98
Liberia	40.68	Q1014	99
Libya	50.62	Q1016	100
Lithuania	27.97	Q37	101
Luxembourg	38.06	Q32	102
Macedonia	27.83	Q221	103
Madagascar	32.89	Q1019	104
Malawi	38.62	Q1020	105
Malaysia	36.95	Q833	106
Maldives	29.9	Q826	107
Mali	41.45	Q912	108
Malta	34.76	Q233	109
Marshall Islands	58.58	Q709	110
Mauritania	44.49	Q1025	111
Mauritius	35.58	Q1027	112
Mexico	33.33	Q96	113
Micronesia (country)	55.73	Q702	114
Moldova	23.59	Q217	115
Mongolia	30.17	Q711	116
Montenegro	40.1	Q236	117
Morocco	41.53	Q1028	118
Mozambique	46.56	Q1029	119
Myanmar	48.61	Q836	120
Namibia	39.67	Q1030	121
Nepal	32.14	Q837	122
Netherlands	37.77	Q55	123
New Zealand	32.43	Q664	124
Nicaragua	26.97	Q811	125
Niger	39.1	Q1032	126
Nigeria	40.98	Q1033	127
North Korea	32.38	Q423	128
Northern Ireland	38.64	Q26	129
Northern Mariana Islands	40.98	Q16644	130
Norway	36.48	Q20	131
Oman	46.19	Q842	132
Pakistan	41.33	Q843	133
Palestine	43.26	Q219060	134
Panama	29.72	Q804	135
Papua New Guinea	37.54	Q691	136
Paraguay	33.53	Q733	137
Peru	30.11	Q419	138
Philippines	42.17	Q928	139
Poland	36.62	Q36	140
Portugal	33.94	Q45	141
Puerto Rico	32.78	Q1183	142
Qatar	44.83	Q846	143
Romania	36.97	Q218	144
Russia	36.87	Q159	145
Rwanda	41.07	Q1037	146
Saint Lucia	38.02	Q760	147
Saint Vincent and the Grenadines	24.76	Q757	148
Samoa	53.8	Q683	149
Sao Tome and Principe	37.2	Q1039	150
Saudi Arabia	49.54	Q851	151
Scotland	42.02	Q22	152
Senegal	45.07	Q1041	153
Serbia	47.26	Q403	154
Seychelles	39.06	Q1042	155
Sierra Leone	40.87	Q1044	156
Singapore	24.68	Q334	157
Slovakia	35.8	Q214	158
Slovenia	29.96	Q215	159
Solomon Islands	41.74	Q685	160
Somalia	46.8	Q1045	161
South Africa	36.29	Q258	162
South Korea	42.99	Q884	163
South Sudan	40.73	Q958	164
Spain	36.23	Q29	165
Sri Lanka	34.54	Q854	166
Sudan	36.08	Q1049	167
Suriname	36.08	Q730	168
Swaziland	46.06	Q1050	169
Sweden	34.12	Q34	170
Switzerland	33.4	Q39	171
Syria	38.05	Q858	172
Taiwan	31.52	Q865	173
Tajikistan	38.25	Q863	174
Tanzania	38.76	Q924	175
Thailand	35.01	Q869	176
Timor	40.63	Q574	177
Togo	40.42	Q945	178
Tonga	48.71	Q678	179
Trinidad and Tobago	29.4	Q754	180
Tunisia	40.61	Q948	181
Turkey	29.06	Q43	182
Turkmenistan	47.22	Q874	183
Uganda	35.8	Q1036	184
Ukraine	44.52	Q212	185
United Arab Emirates	42.73	Q878	186
United Kingdom	38.75	Q145	187
United States	38.45	Q30	188
United States Virgin Islands	35.2	Q11703	189
Uruguay	33.22	Q77	190
Uzbekistan	42.09	Q265	191
Vanuatu	57.13	Q686	192
Venezuela	29.26	Q717	193
Vietnam	38.37	Q881	194
Wales	37.41	Q25	195
Yemen	37.55	Q805	196
Zambia	43.47	Q953	197
Zimbabwe	42.31	Q954	198
