Country	Revenue2010	Revenue2018	ID	id_row
Afghanistan	0.0	0.0	Q889	0
Albania	1.0	0.0	Q222	1
Angola	3.0	6.0	Q916	2
Argentina	4.0	5.0	Q414	3
Armenia	8.0	6.0	Q399	4
Australia	0.0	0.0	Q408	5
Austria	4.0	4.0	Q40	6
Azerbaijan	1.0	1.0	Q227	7
Bahamas, The	7.0	6.0	Q778	8
Bangladesh	3.0	3.0	Q902	9
Barbados	8.0	8.0	Q244	10
Belarus	3.0	0.0	Q184	11
Belgium	0.0	1.0	Q31	12
Belize	1.0	1.0	Q242	13
Bhutan	0.0	0.0	Q917	14
Bosnia and Herzegovina	0.0	0.0	Q225	15
Botswana	0.0	0.0	Q963	16
Brazil	1.0	1.0	Q155	17
Bulgaria	0.0	0.0	Q219	18
Burkina Faso	2.0	2.0	Q965	19
Cabo Verde	2.0	1.0	Q1011	20
Cambodia	0.0	0.0	Q424	21
Cameroon	4.0	4.0	Q1009	22
Central African Republic	2.0	13.0	Q929	23
Chile	8.0	-1.0	Q298	24
China	0.0	0.0	Q148	25
Macao SAR, China	1.0	1.0	Q14773	26
Colombia	6.0	2.0	Q739	27
Congo, Rep.	0.0	0.0	Q971	28
Costa Rica	3.0	3.0	Q800	29
Cote d'Ivoire	0.0	5.0	Q1008	30
Cyprus	5.0	4.0	Q229	31
Czech Republic	0.0	0.0	Q213	32
Denmark	4.0	5.0	Q35	33
Dominican Republic	1.0	1.0	Q786	34
Egypt, Arab Rep.	2.0	3.0	Q79	35
El Salvador	0.0	0.0	Q792	36
Equatorial Guinea	0.0	1.0	Q983	37
Finland	1.0	1.0	Q33	38
France	6.0	4.0	Q142	39
Gabon	3.0	6.0	Q1000	40
Georgia	1.0	1.0	Q230	41
Greece	2.0	4.0	Q41	42
Guatemala	2.0	1.0	Q774	43
Honduras	1.0	0.0	Q783	44
Hungary	1.0	3.0	Q28	45
Iceland	3.0	3.0	Q189	46
India	0.0	0.0	Q668	47
Indonesia	3.0	1.0	Q252	48
Ireland	2.0	2.0	Q27	49
Israel	4.0	4.0	Q801	50
Italy	5.0	5.0	Q38	51
Japan	2.0	3.0	Q17	52
Jordan	3.0	1.0	Q810	53
Kazakhstan	2.0	0.0	Q232	54
Korea, Rep.	7.0	3.0	Q884	55
Latvia	1.0	0.0	Q211	56
Lebanon	13.0	11.0	Q822	57
Lesotho	0.0	0.0	Q1013	58
Lithuania	0.0	0.0	Q37	59
Luxembourg	2.0	3.0	Q32	60
Madagascar	0.0	0.0	Q1019	61
Malawi	0.0	0.0	Q1020	62
Malaysia	1.0	2.0	Q833	63
Mali	11.0	2.0	Q912	64
Malta	1.0	0.0	Q233	65
Marshall Islands	1.0	1.0	Q709	66
Mauritius	2.0	2.0	Q1027	67
Mexico	1.0	1.0	Q96	68
Micronesia, Fed. Sts.	0.0	0.0	Q702	69
Moldova	0.0	0.0	Q217	70
Mongolia	2.0	1.0	Q711	71
Morocco	3.0	2.0	Q1028	72
Mozambique	1.0	5.0	Q1029	73
Myanmar	1.0	0.0	Q836	74
Nepal	0.0	1.0	Q837	75
Netherlands	2.0	3.0	Q55	76
New Zealand	0.0	0.0	Q664	77
Nicaragua	0.0	1.0	Q811	78
North Macedonia	2.0	0.0	Q221	79
Norway	1.0	0.0	Q20	80
Palau	5.0	2.0	Q695	81
Paraguay	0.0	1.0	Q733	82
Peru	4.0	7.0	Q419	83
Philippines	4.0	6.0	Q928	84
Poland	1.0	1.0	Q36	85
Portugal	3.0	2.0	Q45	86
Romania	0.0	0.0	Q218	87
Russian Federation	0.0	0.0	Q159	88
Samoa	0.0	0.0	Q683	89
San Marino	1.0	6.0	Q238	90
Saudi Arabia	1.0	2.0	Q851	91
Singapore	16.0	17.0	Q334	92
Slovak Republic	0.0	0.0	Q214	93
Slovenia	0.0	0.0	Q215	94
Solomon Islands	1.0	1.0	Q685	95
South Africa	1.0	1.0	Q258	96
Spain	0.0	0.0	Q29	97
Sri Lanka	12.0	0.0	Q854	98
St. Kitts and Nevis	2.0	2.0	Q763	99
St. Lucia	0.0	1.0	Q760	100
St. Vincent and the Grenadines	1.0	3.0	Q757	101
Sudan	4.0	0.0	Q1049	102
Sweden	28.0	30.0	Q34	103
Tanzania	7.0	2.0	Q924	104
Thailand	1.0	1.0	Q869	105
Timor-Leste	0.0	0.0	Q574	106
Togo	5.0	1.0	Q945	107
Tonga	0.0	0.0	Q678	108
Trinidad and Tobago	10.0	16.0	Q754	109
Turkey	4.0	2.0	Q43	110
Ukraine	0.0	0.0	Q212	111
United Kingdom	5.0	5.0	Q145	112
United States	1.0	1.0	Q30	113
Uruguay	2.0	5.0	Q77	114
Uzbekistan	0.0	0.0	Q265	115
Vanuatu	0.0	1.0	Q686	116
West Bank and Gaza	0.0	2.0	Q407199	117
Zambia	1.0	2.0	Q953	118
